from_act,from_num,from_heading,to_act,to_num,to_heading,relation,score
crpc,1,Short title extent and commencement,bnss,1,"Short title, extent and commencement",near-identical,0.95
crpc,2,Definitions,bnss,2,Definitions,close,0.8451
crpc,3,Construction of references,bnss,3,Construction of references,near-identical,0.8572
crpc,4,Trial of offences under the Indian Penal Code and other laws,bnss,4,"Trial of offences under Bharatiya Nyaya Sanhita, 2023 and other laws",near-identical,1
crpc,5,Saving,bnss,5,Saving,close,0.809
crpc,6,Classes Criminal Courts,bnss,6,Classes of Criminal Courts,near-identical,0.9521
crpc,7,Territorial divisions,bnss,7,Territorial divisions,near-identical,0.9731
crpc,8,Metropolitan areas,bnss,,,none,0.2107
crpc,9,Court of Session,bnss,8,Court of Session,near-identical,0.9485
crpc,10,Subordination of Assistant Sessions Judges,bnss,8,Court of Session,weak,0.6094
crpc,11,Courts of Judicial Magistrates,bnss,9,Courts of Judicial Magistrates,near-identical,0.988
crpc,12,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate,etc",bnss,10,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc",near-identical,0.9791
crpc,13,Special Judicial Magistrates,bnss,11,Special Judicial Magistrates,near-identical,0.9128
crpc,14,Local jurisdiction of Judicial Magistrates,bnss,12,Local Jurisdiction of Judicial Magistrates,near-identical,0.9568
crpc,15,Subordination of Judicial Magistrates,bnss,13,Subordination of Judicial Magistrates,near-identical,1
crpc,16,Courts of Metropolitan Magistrates,bnss,9,Courts of Judicial Magistrates,close,0.6539
crpc,17,Chief Metropolitan Magistrates and Additional Chief MetropolitanMagistrates,bnss,10,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc",weak,0.5779
crpc,18,Special Metropolitan Magistrates,bnss,11,Special Judicial Magistrates,close,0.7987
crpc,19,Subordination of Metropolitan Magistrates,bnss,13,Subordination of Judicial Magistrates,weak,0.608
crpc,20,Executive Magistrates,bnss,14,Executive Magistrates,near-identical,0.9175
crpc,21,Special Executive Magistrates,bnss,15,Special Executive Magistrates,near-identical,0.93
crpc,22,Local jurisdiction of Executive Magistrates,bnss,16,Local Jurisdiction of Executive,near-identical,0.9172
crpc,23,Subordination of Executive Magistrates,bnss,17,Subordination of Executive Magistrates,near-identical,0.95
crpc,24,Public Prosecutors,bnss,18,Public Prosecutors,near-identical,0.9381
crpc,25,Assistant Public Prosecutors,bnss,19,Assistant Public Prosecutors,near-identical,0.9141
crpc,26,Courts by which offences are triable,bnss,21,Courts by which offences are triable,near-identical,0.95
crpc,27,Jurisdiction in the case of juveniles,bnss,401,Order to release on probation of good conduct or after admonition,weak,0.5647
crpc,28,Sentences which High Courts and Sessions Judges may pass,bnss,22,Sentences which High Courts and Sessions Judges may pass,near-identical,0.95
crpc,29,Sentences which Magistrates may pass,bnss,23,Sentences which Magistrates may pass,near-identical,0.95
crpc,30,Sentences of imprisonment in default of fine,bnss,24,Sentence of imprisonment in default of fine,near-identical,0.9504
crpc,31,Sentences in cases of conviction of several offences at one trial,bnss,25,Sentence in cases of conviction of several offences at one trial,near-identical,0.9037
crpc,32,Mode of conferring powers,bnss,26,Mode of conferring powers,near-identical,1
crpc,33,Powers of officers appointed,bnss,27,Powers of officers appointed,near-identical,0.9658
crpc,34,Withdrawal of powers,bnss,28,Withdrawal of powers,near-identical,1
crpc,35,Powers of Judges and Magistrates exercisable by their successors-in-office,bnss,29,Powers of Judges and Magistrates exercisable by their successors-in-office,near-identical,0.95
crpc,36,Powers of superior officers of police,bnss,30,Powers of superior officers of police,near-identical,0.9507
crpc,37,Public when to assist Magistrates and police,bnss,31,Public when to assist Magistrates and police,near-identical,0.95
